Student Id,Final,Midterm,HW1,HW2,HW3,HW4,Lab1,Lab2,Lab3,Lab4,Pre Test,Post Test,Score,Avg
040200604,37,83,100,83,85,90,50,100,100,,,60,BA,69
040200617,61,39,28,20,93,94,50,100,,,55,68,BB,56
040200620,44,46,100,38,64,77,100,100,100,100,85,80,BB,63
040200621,51,70,100,100,89,100,75,100,100,100,100,70,AA,76
040200629,14,69,90,15,75,82,75,0,100,,65,20,CB,46
040200641,39,39,50,40,93,94,100,100,50,100,70,60,BB,57
040200748,41,75,100,100,89,100,75,100,100,100,100,70,AA,75
040200902,40,9,38,10,82,92,0,100,,0,50,30,DC,36
040200904,38,50,26,42,82,100,25,0,0,100,60,80,BB,54
040210731,30,57,46,88,75,82,100,100,100,,,50,BB,57
040210748,65,66,100,,90,94,100,100,100,100,70,60,BA,69
040210769,34,60,100,100,89,100,75,100,100,100,95,70,BA,70
504191107,,38,100,47,,40,,100,50,,55,10,DD,28
504221133,30,44,100,93,87,92,0,75,100,100,60,40,BB,59
912210009,37,20,15,7,81,92,,,0,100,,50,CC,38
Mean,32.95,47.53,65.07,48.89,81.19,87.56,61.36,67.86,70.59,73.21,70.95,51.04,2.28,47.3
Standard Deviation,13.75,19.01,34.19,35.02,8.93,13.49,33.13,46.8,37.17,41.9,21.04,22.59,1.26,20.44
