Student Id,Final,Pre Test,Post Test,Score,Avg
040210538,70,45,30,CB,55
040210549,70,,60,CC+,52
040210553,40,45,40,CC+,51
040210556,30,60,70,CC,49
040210558,25,30,45,CC,47
040210560,70,55,60,BB+,69
040210564,70,45,35,CB,55
040210565,65,65,60,BB,65
040210567,80,80,65,BB+,70
040210568,40,45,25,CC+,53
040210572,90,35,70,BB+,68
040210575,40,70,45,DC+,45
040220513,35,45,55,CB+,60
040220551,70,55,50,BB,64
040220754,70,,40,CB+,63
040220762,40,50,40,DC+,46
040220764,01,15,20,FF,22
040220769,55,,35,CC,49
040230555,60,50,70,BB+,69
040230560,70,65,35,BB+,70
040230778,50,65,75,BA,73
040230779,95,50,80,AA,84
040240769,01,30,50,FF,28
040240777,50,65,55,BB,64
110190204,90,35,35,BB,64
040220505,50,75,70,BB,64
040210525,50,,40,DC+,45
040210537,55,60,55,CB,57
Mean,56.36,50.57,50.36,2.55,58.71
Standard Deviation,25.23,14.19,15.86,0.96,14.69
